Ref_Ticket,Date,Heure,Type,Titre,Description,Status,Priority,Items
23,02/04/2026,09:27,Incident,Écran qui clignote,L'affichage scintille en permanence,In Progress,Critical,"[""PC-LAB-004"", ""MN-FORM-001"", ""PC-LAB-001""]"
24,06/05/2026,16:19,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,Resolved,Medium,"[""PC-ADM-001"", ""PR-BIB-001""]"
25,18/01/2026,12:17,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",Closed,Low,"[""PH-MOB-001""]"
26,12/05/2026,13:25,Incident,Souris ne fonctionne pas,Pointeur non détecté par le système,Resolved,Low,"[""AP-RES-001""]"
27,31/05/2026,17:30,Incident,Lenteur système,Le système est très lent au démarrage,In Progress,Critical,"[""PC-DIR-002"", ""PC-ADM-005"", ""PC-LAB-002""]"
28,05/03/2026,17:26,Incident,Batterie ne charge plus,Le laptop ne tient plus la charge,New,High,"[""MN-FORM-001"", ""PC-BIB-001"", ""MN-LAB-002""]"
29,27/05/2026,12:44,Incident,Réseau inaccessible,Pas de connexion au réseau local,Closed,Low,"[""PC-ADM-001""]"
30,20/05/2026,16:35,Demande,Nouveau compte,Création d'un compte utilisateur demandée,Resolved,Low,"[""PH-MOB-002""]"
31,20/02/2026,11:12,Demande,Mise à jour OS,Mise à jour Windows 11 demandée,Closed,Medium,"[""PC-ADM-002"", ""PC-ADM-001"", ""PH-LAB-001""]"
32,26/02/2026,10:57,Demande,Accès réseau,Demande de droits d'accès au réseau partagé,In Progress,High,"[""SW-RES-002"", ""PC-LAB-003""]"
33,29/04/2026,14:11,Demande,VPN accès,Demande d'accès VPN pour télétravail,New,Critical,"[""PH-FIX-001""]"
34,02/01/2026,11:04,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",Closed,High,"[""SW-RES-002"", ""PC-BIB-002""]"
35,28/02/2026,09:12,Incident,Souris ne fonctionne pas,Pointeur non détecté par le système,New,Critical,"[""AP-RES-001"", ""PC-DIR-002""]"
36,03/06/2026,12:46,Incident,PC qui redémarre seul,Redémarrages inopinés plusieurs fois par jour,In Progress,Critical,"[""PC-COMPTA-002""]"
37,07/05/2026,17:38,Incident,PC qui redémarre seul,Redémarrages inopinés plusieurs fois par jour,Closed,Medium,"[""PH-ADM-002"", ""PC-COMPTA-003"", ""PR-COMPTA-001""]"
38,14/02/2026,14:40,Incident,Port USB cassé,Port USB ne reconnaît plus les périphériques,New,Medium,"[""PC-ADM-005""]"
39,10/04/2026,14:32,Demande,Remplacement disque,"Disque dur trop petit, remplacement demandé",Closed,High,"[""PC-ADM-002""]"
40,21/05/2026,11:09,Incident,Écran noir,L'écran ne s'allume plus au démarrage,Closed,Critical,"[""PH-MOB-003"", ""PR-LAB-001"", ""RT-RES-001""]"
41,25/01/2026,15:00,Demande,Nouveau périphérique,Demande d'attribution d'une souris ergonomique,New,High,"[""PH-ADM-001""]"
42,06/03/2026,17:29,Incident,Son absent,Pas de sortie audio sur le poste,Pending,Medium,"[""PC-ADM-003""]"
43,19/01/2026,11:34,Demande,Installation logiciel,Installation de Microsoft Office demandée,New,Medium,"[""AP-RES-002"", ""PH-FIX-001""]"
44,02/02/2026,16:14,Demande,Accès réseau,Demande de droits d'accès au réseau partagé,Resolved,High,"[""PH-DIR-001"", ""PC-ADM-005"", ""PH-LAB-001""]"
45,06/02/2026,11:28,Incident,Imprimante hors ligne,Impossible d'imprimer depuis le réseau,New,Medium,"[""SW-RES-001"", ""MN-COMPTA-001"", ""SW-RES-002""]"
46,16/01/2026,13:33,Incident,PC qui redémarre seul,Redémarrages inopinés plusieurs fois par jour,Resolved,Critical,"[""PR-COMPTA-001"", ""PR-BIB-001""]"
47,10/03/2026,11:50,Demande,Formation logiciel,Demande de formation sur un nouvel outil,In Progress,Medium,"[""PH-ADM-001"", ""PC-ADM-005"", ""PC-COMPTA-003""]"
48,15/05/2026,09:14,Demande,Extension RAM,Ajout de mémoire RAM demandé,In Progress,High,"[""PC-COMPTA-001"", ""MN-LAB-001""]"
49,31/03/2026,12:48,Demande,VPN accès,Demande d'accès VPN pour télétravail,In Progress,Low,"[""PH-MOB-002""]"
50,11/04/2026,16:03,Demande,Configuration email,Configuration du client mail sur nouveau poste,New,High,"[""MN-FORM-002""]"
51,11/02/2026,17:06,Demande,Extension RAM,Ajout de mémoire RAM demandé,Pending,Medium,"[""PR-ADM-001"", ""PC-LAB-002""]"
52,09/04/2026,09:18,Incident,Imprimante hors ligne,Impossible d'imprimer depuis le réseau,Closed,Medium,"[""PC-ADM-003""]"
53,16/02/2026,13:48,Demande,Nouveau périphérique,Demande d'attribution d'une souris ergonomique,Resolved,Low,"[""PC-ADM-001""]"
54,17/02/2026,13:50,Incident,Clavier défectueux,Plusieurs touches ne répondent plus,New,Low,"[""PH-ADM-002"", ""PC-DIR-001"", ""PC-LAB-003""]"
55,28/02/2026,12:07,Incident,Disque plein,"Espace disque insuffisant, alertes système",Pending,Low,"[""RT-RES-001"", ""PC-LAB-002""]"
56,20/03/2026,10:50,Incident,Lenteur système,Le système est très lent au démarrage,Resolved,Medium,"[""PC-LAB-002""]"
57,13/01/2026,10:21,Demande,Accès réseau,Demande de droits d'accès au réseau partagé,Pending,Medium,"[""PC-LAB-001"", ""PC-ADM-001""]"
58,27/01/2026,15:41,Incident,Lenteur système,Le système est très lent au démarrage,Resolved,Critical,"[""PH-MOB-001""]"
59,28/02/2026,08:08,Incident,Écran qui clignote,L'affichage scintille en permanence,New,Medium,"[""MN-LAB-002"", ""PH-MOB-002""]"
60,07/04/2026,16:14,Demande,Accès réseau,Demande de droits d'accès au réseau partagé,In Progress,Medium,"[""PC-BIB-001"", ""PC-ADM-001""]"
61,02/01/2026,15:32,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,Pending,Critical,"[""AP-RES-001"", ""PC-BIB-001""]"
62,06/02/2026,17:22,Incident,Moniteur rayé,Écran physiquement endommagé,New,Critical,"[""PH-MOB-003"", ""PH-FIX-001""]"
63,30/05/2026,12:43,Incident,Disque plein,"Espace disque insuffisant, alertes système",New,Low,"[""SW-RES-001"", ""PC-LAB-001"", ""PH-ADM-001""]"
64,08/04/2026,14:46,Incident,Surchauffe,L'ordinateur chauffe anormalement,In Progress,Critical,"[""PH-MOB-001"", ""PR-ADM-001"", ""PC-ADM-002""]"
65,23/05/2026,08:21,Incident,BSOD,Écran bleu répété depuis ce matin,Closed,Low,"[""PC-COMPTA-001""]"
66,05/02/2026,12:33,Demande,Mise à jour OS,Mise à jour Windows 11 demandée,Closed,Low,"[""PC-ADM-003""]"
67,02/03/2026,15:45,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,Pending,High,"[""PR-BIB-001""]"
68,05/04/2026,17:57,Demande,Mise à jour OS,Mise à jour Windows 11 demandée,Resolved,Low,"[""PC-BIB-001""]"
69,26/05/2026,08:14,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,Closed,High,"[""PC-LAB-003""]"
70,18/05/2026,16:59,Incident,Réseau inaccessible,Pas de connexion au réseau local,New,Low,"[""PH-MOB-003"", ""MN-FORM-001"", ""PC-ADM-001""]"
71,10/03/2026,10:24,Incident,Moniteur rayé,Écran physiquement endommagé,Resolved,Medium,"[""PH-ADM-002""]"
72,20/05/2026,10:03,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",Resolved,Low,"[""PR-BIB-001"", ""PC-COMPTA-003"", ""MN-FORM-002""]"
73,28/01/2026,13:47,Incident,Écran qui clignote,L'affichage scintille en permanence,In Progress,High,"[""MN-COMPTA-001""]"
74,18/04/2026,13:08,Demande,Mise à jour OS,Mise à jour Windows 11 demandée,In Progress,Low,"[""PC-LAB-001"", ""PC-LAB-003"", ""PC-COMPTA-002""]"
75,25/03/2026,09:40,Incident,Surchauffe,L'ordinateur chauffe anormalement,New,Low,"[""PC-BIB-001""]"
76,05/02/2026,08:51,Incident,Réseau inaccessible,Pas de connexion au réseau local,Resolved,Critical,"[""MN-COMPTA-001"", ""PC-ADM-003"", ""PC-BIB-002""]"
77,30/01/2026,14:49,Incident,Disque plein,"Espace disque insuffisant, alertes système",Pending,Medium,"[""MN-LAB-001"", ""MN-ADM-002"", ""AP-RES-001""]"
78,09/05/2026,16:50,Incident,Moniteur rayé,Écran physiquement endommagé,Resolved,Low,"[""AP-RES-002"", ""MN-FORM-002"", ""PC-ADM-003""]"
79,18/05/2026,10:11,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,In Progress,Medium,"[""PR-COMPTA-001""]"
80,26/05/2026,11:14,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",New,High,"[""PC-ADM-005""]"
81,08/01/2026,09:23,Incident,Écran noir,L'écran ne s'allume plus au démarrage,New,Critical,"[""PC-LAB-004"", ""PC-ADM-003""]"
82,05/01/2026,12:17,Incident,Son absent,Pas de sortie audio sur le poste,In Progress,Low,"[""PC-LAB-003"", ""MN-FORM-002"", ""PH-ADM-002""]"
83,20/02/2026,15:19,Incident,Son absent,Pas de sortie audio sur le poste,In Progress,Medium,"[""PH-FIX-001"", ""PH-ADM-002"", ""PC-LAB-003""]"
84,02/01/2026,08:30,Incident,Moniteur rayé,Écran physiquement endommagé,Closed,Medium,"[""SW-RES-001"", ""PC-LAB-004""]"
85,28/05/2026,09:13,Incident,Écran noir,L'écran ne s'allume plus au démarrage,Resolved,Medium,"[""PH-MOB-002""]"
86,26/05/2026,09:10,Incident,Téléphone muet,Pas de son lors des appels,Resolved,Low,"[""PH-ADM-002""]"
87,22/02/2026,15:31,Incident,Surchauffe,L'ordinateur chauffe anormalement,Resolved,High,"[""PC-COMPTA-003"", ""PC-ADM-005"", ""PH-MOB-001""]"
88,07/01/2026,12:02,Incident,Souris ne fonctionne pas,Pointeur non détecté par le système,Resolved,Critical,"[""PC-LAB-004"", ""MN-LAB-001"", ""PC-BIB-001""]"
89,05/03/2026,08:53,Incident,Souris ne fonctionne pas,Pointeur non détecté par le système,Resolved,Critical,"[""SW-RES-001"", ""PH-MOB-001""]"
90,18/01/2026,16:42,Demande,Extension RAM,Ajout de mémoire RAM demandé,In Progress,High,"[""PC-LAB-001"", ""PH-MOB-003""]"
91,31/05/2026,09:29,Incident,Virus détecté,Alerte antivirus signalée par l'utilisateur,New,Critical,"[""PR-LAB-001""]"
92,19/01/2026,16:27,Incident,Batterie ne charge plus,Le laptop ne tient plus la charge,Pending,Critical,"[""RT-RES-001""]"
93,02/04/2026,17:30,Incident,Écran noir,L'écran ne s'allume plus au démarrage,In Progress,Critical,"[""PH-MOB-002"", ""MN-FORM-001"", ""MN-ADM-002""]"
94,31/03/2026,10:16,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",In Progress,Critical,"[""RT-RES-001"", ""PH-FIX-001""]"
95,27/04/2026,10:20,Incident,Téléphone muet,Pas de son lors des appels,Closed,Medium,"[""PC-ADM-002"", ""PC-ADM-005"", ""MN-ADM-001""]"
96,02/06/2026,14:39,Incident,Surchauffe,L'ordinateur chauffe anormalement,In Progress,Medium,"[""PH-ADM-001""]"
97,14/02/2026,09:26,Demande,Configuration email,Configuration du client mail sur nouveau poste,Pending,Medium,"[""MN-FORM-002"", ""PC-BIB-001""]"
98,20/01/2026,14:06,Incident,Écran noir,L'écran ne s'allume plus au démarrage,Resolved,High,"[""PH-DIR-001""]"
99,12/05/2026,14:02,Incident,Câble réseau abimé,"Câble réseau endommagé, connexion instable",New,Critical,"[""PC-ADM-002""]"
100,29/04/2026,15:48,Incident,Téléphone muet,Pas de son lors des appels,Closed,High,"[""RT-RES-001"", ""PH-ADM-002"", ""PC-DIR-001""]"
